"x","Density","Velocity","Pressure"
-0.9,1,0,1
-0.880612,1,0,1
-0.861224,1,0,1
-0.841837,1,0,1
-0.822449,1,0,1
-0.803061,1,0,1
-0.783673,1,0,1
-0.764286,1,0,1
-0.744898,1,0,1
-0.72551,1,0,1
-0.706122,1,0,1
-0.686735,1,0,1
-0.667347,1,0,1
-0.647959,1,0,1
-0.628571,1,0,1
-0.609184,1,0,1
-0.589796,1,0,1
-0.570408,1,0,1
-0.55102,1,0,1
-0.531633,1,0,1
-0.512245,1,0,1
-0.492857,1,0,1
-0.473469,1,0,1
-0.454082,1,0,1
-0.434694,1,0,1
-0.415306,1,0,1
-0.395918,1,0,1
-0.376531,1,0,1
-0.357143,1,0,1
-0.337755,1,0,1
-0.318367,1,0,1
-0.29898,1,0,1
-0.279592,7.2532,0.0810608,16.0229
-0.260204,6.86211,0.178,14.8266
-0.240816,6.48807,0.274938,13.7076
-0.221429,6.13052,0.371877,12.6618
-0.202041,5.78891,0.468816,11.6852
-0.182653,5.4627,0.565755,10.7738
-0.163265,5.15137,0.662693,9.92412
-0.143878,4.8544,0.759632,9.1325
-0.12449,4.57128,0.856571,8.39563
-0.105102,4.30153,0.95351,7.71032
-0.0857143,4.04467,1.05045,7.07353
-0.0663265,3.80022,1.14739,6.48236
-0.0469388,3.56775,1.24433,5.93405
-0.027551,3.34679,1.34126,5.42599
-0.00816327,0.426319,0.927453,0.30313
0.0112245,0.426319,0.927453,0.30313
0.0306122,0.426319,0.927453,0.30313
0.05,0.426319,0.927453,0.30313
0.0693878,0.426319,0.927453,0.30313
0.0887755,0.426319,0.927453,0.30313
0.108163,0.426319,0.927453,0.30313
0.127551,0.426319,0.927453,0.30313
0.146939,0.426319,0.927453,0.30313
0.166327,0.426319,0.927453,0.30313
0.185714,0.426319,0.927453,0.30313
0.205102,0.426319,0.927453,0.30313
0.22449,0.426319,0.927453,0.30313
0.243878,0.265574,0.927453,0.30313
0.263265,0.265574,0.927453,0.30313
0.282653,0.265574,0.927453,0.30313
0.302041,0.265574,0.927453,0.30313
0.321429,0.265574,0.927453,0.30313
0.340816,0.265574,0.927453,0.30313
0.360204,0.265574,0.927453,0.30313
0.379592,0.265574,0.927453,0.30313
0.39898,0.265574,0.927453,0.30313
0.418367,0.265574,0.927453,0.30313
0.437755,0.265574,0.927453,0.30313
0.457143,0.125,0,0.1
0.476531,0.125,0,0.1
0.495918,0.125,0,0.1
0.515306,0.125,0,0.1
0.534694,0.125,0,0.1
0.554082,0.125,0,0.1
0.573469,0.125,0,0.1
0.592857,0.125,0,0.1
0.612245,0.125,0,0.1
0.631633,0.125,0,0.1
0.65102,0.125,0,0.1
0.670408,0.125,0,0.1
0.689796,0.125,0,0.1
0.709184,0.125,0,0.1
0.728571,0.125,0,0.1
0.747959,0.125,0,0.1
0.767347,0.125,0,0.1
0.786735,0.125,0,0.1
0.806122,0.125,0,0.1
0.82551,0.125,0,0.1
0.844898,0.125,0,0.1
0.864286,0.125,0,0.1
0.883673,0.125,0,0.1
0.903061,0.125,0,0.1
0.922449,0.125,0,0.1
0.941837,0.125,0,0.1
0.961224,0.125,0,0.1
0.980612,0.125,0,0.1
1,0.125,0,0.1
